repository name,repository URL,upstream/original URL where available,last updated date,reason for deletion
A2A-MCP-ADK-Integration,https://github.com/Ibraheemolasupogit/A2A-MCP-ADK-Integration,https://github.com/Ashwinikumar1/A2A-MCP-ADK-Integration,2025-07-23T03:52:18Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
a2a-python,https://github.com/Ibraheemolasupogit/a2a-python,https://github.com/a2aproject/a2a-python,2025-07-23T03:53:11Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
a2a-samples,https://github.com/Ibraheemolasupogit/a2a-samples,https://github.com/a2aproject/a2a-samples,2025-07-23T03:51:20Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
ab-testing-at-edge,https://github.com/Ibraheemolasupogit/ab-testing-at-edge,https://github.com/aws-samples/ab-testing-at-edge,2025-07-23T06:48:54Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
academicpages.github.io,https://github.com/Ibraheemolasupogit/academicpages.github.io,https://github.com/academicpages/academicpages.github.io,2025-08-29T09:35:52Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
Academind-react-complete-guide-code,https://github.com/Ibraheemolasupogit/Academind-react-complete-guide-code,https://github.com/academind/react-complete-guide-code,2025-06-29T10:57:25Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
Accelerate-Agentic-AI-DW-200-Agentic,https://github.com/Ibraheemolasupogit/Accelerate-Agentic-AI-DW-200-Agentic,https://github.com/Cloud-Authority/Accelerate-Agentic-AI,2026-05-03T22:23:30Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
Accident-and-Emergency-A-E-Forecasting,https://github.com/Ibraheemolasupogit/Accident-and-Emergency-A-E-Forecasting,https://github.com/facebook/prophet,2025-06-30T14:59:41Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
agent-framework,https://github.com/Ibraheemolasupogit/agent-framework,https://github.com/microsoft/agent-framework,2025-10-10T07:39:15Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
agent-innovator-lab,https://github.com/Ibraheemolasupogit/agent-innovator-lab,https://github.com/Azure/agent-innovator-lab,2025-08-07T13:42:38Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
agentic-ai-lab-foundry,https://github.com/Ibraheemolasupogit/agentic-ai-lab-foundry,https://github.com/microsoft/agentic-ai-lab,2026-03-10T15:21:38Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
AI-102-AIEngineer,https://github.com/Ibraheemolasupogit/AI-102-AIEngineer,https://github.com/MicrosoftLearning/AI-102-AIEngineer,2025-07-29T23:02:10Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
ai-agents-for-beginners,https://github.com/Ibraheemolasupogit/ai-agents-for-beginners,https://github.com/microsoft/ai-agents-for-beginners,2025-08-07T13:37:35Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
AI-For-Beginners,https://github.com/Ibraheemolasupogit/AI-For-Beginners,https://github.com/microsoft/AI-For-Beginners,2025-08-13T17:30:23Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
ai-gov-uk-website,https://github.com/Ibraheemolasupogit/ai-gov-uk-website,https://github.com/i-dot-ai/ai-gov-uk-website-archive,2025-08-21T10:30:22Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
ai-infra-cluster-provisioning,https://github.com/Ibraheemolasupogit/ai-infra-cluster-provisioning,https://github.com/GoogleCloudPlatform/ai-infra-cluster-provisioning,2025-07-23T03:40:36Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
ai-platform-samples,https://github.com/Ibraheemolasupogit/ai-platform-samples,https://github.com/GoogleCloudPlatform/ai-platform-samples,2025-07-30T16:14:50Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
AI-PredictiveMaintenance,https://github.com/Ibraheemolasupogit/AI-PredictiveMaintenance,https://github.com/Azure/AI-PredictiveMaintenance,2025-07-22T15:09:29Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
Air-Passenger-Count-Prediction-Aircraft,https://github.com/Ibraheemolasupogit/Air-Passenger-Count-Prediction-Aircraft,https://github.com/ShravyaD-coder/Air-Passenger-Count-Prediction,2025-08-06T15:50:44Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
Air-traffic-atdelay-Aircraft,https://github.com/Ibraheemolasupogit/Air-traffic-atdelay-Aircraft,https://github.com/junzis/atdelay,2025-08-06T15:49:36Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
ALZ-Bicep,https://github.com/Ibraheemolasupogit/ALZ-Bicep,https://github.com/Azure/ALZ-Bicep,2025-08-22T21:44:36Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
amazon-bedrock-agents-healthcare-lifesciences,https://github.com/Ibraheemolasupogit/amazon-bedrock-agents-healthcare-lifesciences,https://github.com/aws-samples/amazon-bedrock-agents-healthcare-lifesciences,2025-07-11T10:00:13Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
amazon-bedrock-rag,https://github.com/Ibraheemolasupogit/amazon-bedrock-rag,https://github.com/aws-samples/amazon-bedrock-rag,2025-12-15T19:38:52Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
amazon-bedrock-samples,https://github.com/Ibraheemolasupogit/amazon-bedrock-samples,https://github.com/aws-samples/amazon-bedrock-samples,2025-07-11T10:07:21Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
amazon-codewhisperer-workshop,https://github.com/Ibraheemolasupogit/amazon-codewhisperer-workshop,https://github.com/aws-samples/amazon-codewhisperer-workshop,2025-07-20T04:51:26Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
amazon-dynamodb-labs,https://github.com/Ibraheemolasupogit/amazon-dynamodb-labs,https://github.com/aws-samples/amazon-dynamodb-labs,2025-07-10T02:01:59Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
amazon-ec2-nice-dcv-semiconductor-wafer-data_MATLAB,https://github.com/Ibraheemolasupogit/amazon-ec2-nice-dcv-semiconductor-wafer-data_MATLAB,https://github.com/aws-samples/amazon-ec2-nice-dcv-semiconductor-wafer-data,2025-07-23T22:38:20Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
amazon-mlops-example-tensorflow,https://github.com/Ibraheemolasupogit/amazon-mlops-example-tensorflow,https://github.com/aws-samples/amazon-mlops-example-tensorflow,2025-08-31T17:33:50Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
amazon-mwaa-examples,https://github.com/Ibraheemolasupogit/amazon-mwaa-examples,https://github.com/aws-samples/amazon-mwaa-examples,2025-07-09T11:38:15Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
amazon-nova-samples,https://github.com/Ibraheemolasupogit/amazon-nova-samples,https://github.com/aws-samples/amazon-nova-samples,2025-07-20T08:27:10Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
amazon-personalize-samples,https://github.com/Ibraheemolasupogit/amazon-personalize-samples,https://github.com/aws-samples/amazon-personalize-samples,2025-07-19T16:30:10Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
amazon-redshift-udfs,https://github.com/Ibraheemolasupogit/amazon-redshift-udfs,https://github.com/aws-samples/amazon-redshift-udfs,2025-07-20T19:31:25Z,Final policy keeps only the 7 explicit forks; this fork is not listed in forks-to-keep-explicit.csv.
