repo name,repo URL,upstream/parent if available,last updated date,reason it was originally marked REVIEW,new second-stage category,deletion confidence from 1 to 5,short reason
ambulance_response_times_and_handover_delays,https://github.com/Ibraheemolasupogit/ambulance_response_times_and_handover_delays,https://github.com/nhsengland/ambulance_response_times_and_handover_delays,2025-08-20T13:58:00Z,Evidence is uncertain or incomplete; review manually before deletion.,needs-manual-browser-check,3,"Existing CSV shows no obvious unique commits or value signal, but the source of truth is insufficient to rule out README edits, PR context, or personal reference value."
attendance_system,https://github.com/Ibraheemolasupogit/attendance_system,https://github.com/datascienceanywhere/attendance_system,2025-08-30T06:51:31Z,Evidence is uncertain or incomplete; review manually before deletion.,needs-manual-browser-check,3,"Existing CSV shows no obvious unique commits or value signal, but the source of truth is insufficient to rule out README edits, PR context, or personal reference value."
composer-airflow,https://github.com/Ibraheemolasupogit/composer-airflow,https://github.com/GoogleCloudPlatform/composer-airflow,2025-08-04T06:39:06Z,Evidence is uncertain or incomplete; review manually before deletion.,needs-manual-browser-check,3,"Existing CSV shows no obvious unique commits or value signal, but the source of truth is insufficient to rule out README edits, PR context, or personal reference value."
darkspace-Git-Hub-GH-900,https://github.com/Ibraheemolasupogit/darkspace-Git-Hub-GH-900,https://github.com/rob-foulkrod/darkspace,2026-04-14T16:06:05Z,Evidence is uncertain or incomplete; review manually before deletion.,needs-manual-browser-check,2,"Existing CSV evidence is not enough to rule out README edits, unique work, PR context, or personal reference value."
introduction-to-github,https://github.com/Ibraheemolasupogit/introduction-to-github,https://github.com/skills/introduction-to-github,2025-07-08T14:43:13Z,Evidence is uncertain or incomplete; review manually before deletion.,needs-manual-browser-check,3,"Existing CSV shows no obvious unique commits or value signal, but the source of truth is insufficient to rule out README edits, PR context, or personal reference value."
Microsoft-Courses,https://github.com/Ibraheemolasupogit/Microsoft-Courses,https://github.com/esamaric-srl/Microsoft-Courses,2025-11-06T09:08:04Z,Evidence is uncertain or incomplete; review manually before deletion.,needs-manual-browser-check,3,"Existing CSV shows no obvious unique commits or value signal, but the source of truth is insufficient to rule out README edits, PR context, or personal reference value."
SynthVAE,https://github.com/Ibraheemolasupogit/SynthVAE,https://github.com/nhsx/SynthVAE,2025-08-21T05:16:26Z,Evidence is uncertain or incomplete; review manually before deletion.,needs-manual-browser-check,3,"Existing CSV shows no obvious unique commits or value signal, but the source of truth is insufficient to rule out README edits, PR context, or personal reference value."
ThePhish,https://github.com/Ibraheemolasupogit/ThePhish,https://github.com/emalderson/ThePhish,2025-08-22T21:50:55Z,Evidence is uncertain or incomplete; review manually before deletion.,needs-manual-browser-check,3,"Existing CSV shows no obvious unique commits or value signal, but the source of truth is insufficient to rule out README edits, PR context, or personal reference value."
Time_Series_Forecasting_MS,https://github.com/Ibraheemolasupogit/Time_Series_Forecasting_MS,https://github.com/nhsx/Time_Series_Forecasting_MS,2025-08-20T21:30:43Z,Evidence is uncertain or incomplete; review manually before deletion.,needs-manual-browser-check,2,"Existing CSV evidence is not enough to rule out README edits, unique work, PR context, or personal reference value."
UK-HDR-hackathon-projects-2025,https://github.com/Ibraheemolasupogit/UK-HDR-hackathon-projects-2025,https://github.com/HDRUK/hackathon-projects-2025,2025-07-01T11:04:33Z,Evidence is uncertain or incomplete; review manually before deletion.,needs-manual-browser-check,3,"Existing CSV shows no obvious unique commits or value signal, but the source of truth is insufficient to rule out README edits, PR context, or personal reference value."
venice,https://github.com/Ibraheemolasupogit/venice,https://github.com/linkedin/venice,2025-08-21T00:18:01Z,Evidence is uncertain or incomplete; review manually before deletion.,needs-manual-browser-check,3,"Existing CSV shows no obvious unique commits or value signal, but the source of truth is insufficient to rule out README edits, PR context, or personal reference value."
vprofile-project,https://github.com/Ibraheemolasupogit/vprofile-project,https://github.com/hkhcoder/vprofile-project,2025-09-08T14:03:51Z,Evidence is uncertain or incomplete; review manually before deletion.,needs-manual-browser-check,3,"Existing CSV shows no obvious unique commits or value signal, but the source of truth is insufficient to rule out README edits, PR context, or personal reference value."
