repo name,repo URL,upstream/parent if available,last updated date,reason it was originally marked REVIEW,new second-stage category,deletion confidence from 1 to 5,short reason
a2a-samples,https://github.com/Ibraheemolasupogit/a2a-samples,https://github.com/a2aproject/a2a-samples,2025-07-23T03:51:20Z,Learning/reference fork; review before deleting even if no unique commits are obvious.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
Academind-react-complete-guide-code,https://github.com/Ibraheemolasupogit/Academind-react-complete-guide-code,https://github.com/academind/react-complete-guide-code,2025-06-29T10:57:25Z,Learning/reference fork; review before deleting even if no unique commits are obvious.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
APL-2002-develop-aspnet-core-consumes-api,https://github.com/Ibraheemolasupogit/APL-2002-develop-aspnet-core-consumes-api,https://github.com/MicrosoftLearning/APL-2002-develop-aspnet-core-consumes-api,2025-11-23T17:12:18Z,Learning/reference fork; review before deleting even if no unique commits are obvious.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
AZ-1008-Administer-Active-Directory-Domain-Services,https://github.com/Ibraheemolasupogit/AZ-1008-Administer-Active-Directory-Domain-Services,https://github.com/MicrosoftLearning/AZ-1008-Administer-Active-Directory-Domain-Services,2025-11-04T15:47:20Z,Learning/reference fork; review before deleting even if no unique commits are obvious.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
AZ-2007-Accelerate-app-development-by-using-GitHub-Copilot,https://github.com/Ibraheemolasupogit/AZ-2007-Accelerate-app-development-by-using-GitHub-Copilot,https://github.com/MicrosoftLearning/AZ-2007-Accelerate-app-development-by-using-GitHub-Copilot,2025-07-13T09:23:53Z,Learning/reference fork; review before deleting even if no unique commits are obvious.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
az-204-examples,https://github.com/Ibraheemolasupogit/az-204-examples,https://github.com/iveylabs/az-204-examples,2026-01-18T08:04:43Z,Learning/reference fork; review before deleting even if no unique commits are obvious.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
clean-code-course-code,https://github.com/Ibraheemolasupogit/clean-code-course-code,https://github.com/academind/clean-code-course-code,2025-08-04T19:06:43Z,Learning/reference fork; review before deleting even if no unique commits are obvious.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
cloud-build-samples,https://github.com/Ibraheemolasupogit/cloud-build-samples,https://github.com/GoogleCloudPlatform/cloud-build-samples,2025-08-03T14:24:50Z,Learning/reference fork; review before deleting even if no unique commits are obvious.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
code-contributions,https://github.com/Ibraheemolasupogit/code-contributions,https://github.com/Roshanjossey/code-contributions,2025-08-02T18:26:13Z,Learning/reference fork; review before deleting even if no unique commits are obvious.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
course-deep-learning-bootcamp,https://github.com/Ibraheemolasupogit/course-deep-learning-bootcamp,https://github.com/AISCIENCES/course-deep-learning-bootcamp,2025-08-04T21:11:28Z,Learning/reference fork; review before deleting even if no unique commits are obvious.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
course-pytorch,https://github.com/Ibraheemolasupogit/course-pytorch,https://github.com/AISCIENCES/course-pytorch,2025-08-04T20:50:39Z,Learning/reference fork; review before deleting even if no unique commits are obvious.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
data-science-interviews,https://github.com/Ibraheemolasupogit/data-science-interviews,https://github.com/alexeygrigorev/data-science-interviews,2025-08-13T12:12:57Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
dp-300-database-administrator,https://github.com/Ibraheemolasupogit/dp-300-database-administrator,https://github.com/MicrosoftLearning/dp-300-database-administrator,2025-07-30T11:57:43Z,Learning/reference fork; review before deleting even if no unique commits are obvious.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
fabric-cli-powerbi-cicd-sample,https://github.com/Ibraheemolasupogit/fabric-cli-powerbi-cicd-sample,https://github.com/RuiRomano/fabric-cli-powerbi-cicd-sample,2025-07-29T13:47:13Z,Learning/reference fork; review before deleting even if no unique commits are obvious.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
Git-Hub-Actions-cache,https://github.com/Ibraheemolasupogit/Git-Hub-Actions-cache,https://github.com/actions/cache,2025-08-02T05:56:11Z,Learning/reference fork; review before deleting even if no unique commits are obvious.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
Git-Hub-Actions-download-artifact,https://github.com/Ibraheemolasupogit/Git-Hub-Actions-download-artifact,https://github.com/actions/download-artifact,2025-08-01T23:22:18Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
Git-Hub-Actions-JavaScript-toolkit,https://github.com/Ibraheemolasupogit/Git-Hub-Actions-JavaScript-toolkit,https://github.com/actions/toolkit,2025-08-02T15:02:27Z,Learning/reference fork; review before deleting even if no unique commits are obvious.,possible-learning-value,1,"Name, upstream, or original audit signal suggests course, lab, certification, GitHub Actions, or learning/reference value."
