repository name,repository URL,whether it is a fork,upstream/original repository if available,last updated date,visibility,whether there appear to be unique commits or meaningful changes by me,"whether there are signs of portfolio value, learning value, or contribution value",recommendation,short reason for the recommendation
A2A-MCP-ADK-Integration,https://github.com/Ibraheemolasupogit/A2A-MCP-ADK-Integration,Yes,https://github.com/Ashwinikumar1/A2A-MCP-ADK-Integration,2025-07-23T03:52:18Z,public,No obvious unique commits from public metadata,portfolio/reference,KEEP,Shows portfolio/reference value; preserve unless a manual review finds it duplicated elsewhere.
ab-testing-at-edge,https://github.com/Ibraheemolasupogit/ab-testing-at-edge,Yes,https://github.com/aws-samples/ab-testing-at-edge,2025-07-23T06:48:54Z,public,No obvious unique commits from public metadata,portfolio/reference,KEEP,Shows portfolio/reference value; preserve unless a manual review finds it duplicated elsewhere.
academicpages.github.io,https://github.com/Ibraheemolasupogit/academicpages.github.io,Yes,https://github.com/academicpages/academicpages.github.io,2025-08-29T09:35:52Z,public,No obvious unique commits from public metadata,portfolio/reference,KEEP,Shows portfolio/reference value; preserve unless a manual review finds it duplicated elsewhere.
Accelerate-Agentic-AI-DW-200-Agentic,https://github.com/Ibraheemolasupogit/Accelerate-Agentic-AI-DW-200-Agentic,Yes,https://github.com/Cloud-Authority/Accelerate-Agentic-AI,2026-05-03T22:23:30Z,public,No obvious unique commits from public metadata,portfolio/reference,KEEP,Shows portfolio/reference value; preserve unless a manual review finds it duplicated elsewhere.
Accident-and-Emergency-A-E-Forecasting,https://github.com/Ibraheemolasupogit/Accident-and-Emergency-A-E-Forecasting,Yes,https://github.com/facebook/prophet,2025-06-30T14:59:41Z,public,No obvious unique commits from public metadata,portfolio/reference,KEEP,Shows portfolio/reference value; preserve unless a manual review finds it duplicated elsewhere.
agent-framework,https://github.com/Ibraheemolasupogit/agent-framework,Yes,https://github.com/microsoft/agent-framework,2025-10-10T07:39:15Z,public,Possible: fork branch has pushes at/after fork creation; could be user work or a sync,portfolio/reference; contribution/reference,KEEP,Shows portfolio/reference; contribution/reference value; preserve unless a manual review finds it duplicated elsewhere.
agent-innovator-lab,https://github.com/Ibraheemolasupogit/agent-innovator-lab,Yes,https://github.com/Azure/agent-innovator-lab,2025-08-07T13:42:38Z,public,No obvious unique commits from public metadata,portfolio/reference; learning,KEEP,Shows portfolio/reference; learning value; preserve unless a manual review finds it duplicated elsewhere.
agentic-ai-lab-foundry,https://github.com/Ibraheemolasupogit/agentic-ai-lab-foundry,Yes,https://github.com/microsoft/agentic-ai-lab,2026-03-10T15:21:38Z,public,No obvious unique commits from public metadata,portfolio/reference; learning,KEEP,Shows portfolio/reference; learning value; preserve unless a manual review finds it duplicated elsewhere.
AI-102-AIEngineer,https://github.com/Ibraheemolasupogit/AI-102-AIEngineer,Yes,https://github.com/MicrosoftLearning/AI-102-AIEngineer,2025-07-29T23:02:10Z,public,No obvious unique commits from public metadata,portfolio/reference; learning,KEEP,Shows portfolio/reference; learning value; preserve unless a manual review finds it duplicated elsewhere.
ai-agents-for-beginners,https://github.com/Ibraheemolasupogit/ai-agents-for-beginners,Yes,https://github.com/microsoft/ai-agents-for-beginners,2025-08-07T13:37:35Z,public,No obvious unique commits from public metadata,portfolio/reference,KEEP,Shows portfolio/reference value; preserve unless a manual review finds it duplicated elsewhere.
AI-For-Beginners,https://github.com/Ibraheemolasupogit/AI-For-Beginners,Yes,https://github.com/microsoft/AI-For-Beginners,2025-08-13T17:30:23Z,public,No obvious unique commits from public metadata,portfolio/reference,KEEP,Shows portfolio/reference value; preserve unless a manual review finds it duplicated elsewhere.
ai-gov-uk-website,https://github.com/Ibraheemolasupogit/ai-gov-uk-website,Yes,https://github.com/i-dot-ai/ai-gov-uk-website-archive,2025-08-21T10:30:22Z,public,No obvious unique commits from public metadata,portfolio/reference,KEEP,Shows portfolio/reference value; preserve unless a manual review finds it duplicated elsewhere.
ai-infra-cluster-provisioning,https://github.com/Ibraheemolasupogit/ai-infra-cluster-provisioning,Yes,https://github.com/GoogleCloudPlatform/ai-infra-cluster-provisioning,2025-07-23T03:40:36Z,public,No obvious unique commits from public metadata,portfolio/reference,KEEP,Shows portfolio/reference value; preserve unless a manual review finds it duplicated elsewhere.
ai-platform-samples,https://github.com/Ibraheemolasupogit/ai-platform-samples,Yes,https://github.com/GoogleCloudPlatform/ai-platform-samples,2025-07-30T16:14:50Z,public,No obvious unique commits from public metadata,portfolio/reference; learning,KEEP,Shows portfolio/reference; learning value; preserve unless a manual review finds it duplicated elsewhere.
AI-PredictiveMaintenance,https://github.com/Ibraheemolasupogit/AI-PredictiveMaintenance,Yes,https://github.com/Azure/AI-PredictiveMaintenance,2025-07-22T15:09:29Z,public,No obvious unique commits from public metadata,portfolio/reference,KEEP,Shows portfolio/reference value; preserve unless a manual review finds it duplicated elsewhere.
Air-Passenger-Count-Prediction-Aircraft,https://github.com/Ibraheemolasupogit/Air-Passenger-Count-Prediction-Aircraft,Yes,https://github.com/ShravyaD-coder/Air-Passenger-Count-Prediction,2025-08-06T15:50:44Z,public,No obvious unique commits from public metadata,portfolio/reference,KEEP,Shows portfolio/reference value; preserve unless a manual review finds it duplicated elsewhere.
Air-traffic-atdelay-Aircraft,https://github.com/Ibraheemolasupogit/Air-traffic-atdelay-Aircraft,Yes,https://github.com/junzis/atdelay,2025-08-06T15:49:36Z,public,No obvious unique commits from public metadata,portfolio/reference,KEEP,Shows portfolio/reference value; preserve unless a manual review finds it duplicated elsewhere.
ALZ-Bicep,https://github.com/Ibraheemolasupogit/ALZ-Bicep,Yes,https://github.com/Azure/ALZ-Bicep,2025-08-22T21:44:36Z,public,No obvious unique commits from public metadata,portfolio/reference,KEEP,Shows portfolio/reference value; preserve unless a manual review finds it duplicated elsewhere.
