repo name,repo URL,upstream/parent if available,last updated date,reason it was originally marked REVIEW,new second-stage category,deletion confidence from 1 to 5,short reason
a2a-python,https://github.com/Ibraheemolasupogit/a2a-python,https://github.com/a2aproject/a2a-python,2025-07-23T03:53:11Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
ambulance-DES,https://github.com/Ibraheemolasupogit/ambulance-DES,https://github.com/nhsx/ambulance-DES,2025-08-20T13:59:12Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
atomic-red-team,https://github.com/Ibraheemolasupogit/atomic-red-team,https://github.com/redcanaryco/atomic-red-team,2025-08-22T21:45:07Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
AzureAI-Playground,https://github.com/Ibraheemolasupogit/AzureAI-Playground,https://github.com/unaihuete93/AzureAI-Playground,2026-05-06T09:46:41Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
build-push-action,https://github.com/Ibraheemolasupogit/build-push-action,https://github.com/docker/build-push-action,2025-08-19T21:15:14Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
buildx,https://github.com/Ibraheemolasupogit/buildx,https://github.com/docker/buildx,2025-08-19T21:14:14Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
cli,https://github.com/Ibraheemolasupogit/cli,https://github.com/docker/cli,2025-08-19T21:12:16Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
Cognitive-Services-Vision-Solution-Templates,https://github.com/Ibraheemolasupogit/Cognitive-Services-Vision-Solution-Templates,https://github.com/Azure-Samples/Cognitive-Services-Vision-Solution-Templates,2025-08-04T04:18:00Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
compose,https://github.com/Ibraheemolasupogit/compose,https://github.com/docker/compose,2025-08-19T21:12:36Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
contoso-chat-csharp-prompty,https://github.com/Ibraheemolasupogit/contoso-chat-csharp-prompty,https://github.com/Azure-Samples/contoso-chat-csharp-prompty,2025-09-18T09:44:31Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
DALL-E,https://github.com/Ibraheemolasupogit/DALL-E,https://github.com/openai/DALL-E,2025-08-13T17:46:46Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
data-beans,https://github.com/Ibraheemolasupogit/data-beans,https://github.com/GoogleCloudPlatform/data-beans,2025-07-23T03:58:18Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
Data-pipeline-project,https://github.com/Ibraheemolasupogit/Data-pipeline-project,https://github.com/hiejulia/Data-pipeline-project,2026-01-20T03:26:43Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
Data-Science-For-Beginners,https://github.com/Ibraheemolasupogit/Data-Science-For-Beginners,https://github.com/microsoft/Data-Science-For-Beginners,2025-07-29T22:55:28Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
Deep-Live-Cam-GAN,https://github.com/Ibraheemolasupogit/Deep-Live-Cam-GAN,https://github.com/hacksider/Deep-Live-Cam,2025-08-13T17:23:04Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
diffusers,https://github.com/Ibraheemolasupogit/diffusers,https://github.com/huggingface/diffusers,2025-08-17T22:16:08Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
docs,https://github.com/Ibraheemolasupogit/docs,https://github.com/docker/docs,2025-08-19T21:13:38Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
genai-cookbook,https://github.com/Ibraheemolasupogit/genai-cookbook,https://github.com/databricks/genai-cookbook,2025-08-16T19:37:08Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
gensim,https://github.com/Ibraheemolasupogit/gensim,https://github.com/piskvorky/gensim,2025-08-13T13:04:59Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
JetStream,https://github.com/Ibraheemolasupogit/JetStream,https://github.com/AI-Hypercomputer/JetStream,2025-07-23T03:41:54Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
langchain,https://github.com/Ibraheemolasupogit/langchain,https://github.com/langchain-ai/langchain,2025-08-13T16:57:41Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
login-action,https://github.com/Ibraheemolasupogit/login-action,https://github.com/docker/login-action,2025-08-19T21:18:34Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
MachineLearningSamples-PredictiveMaintenance,https://github.com/Ibraheemolasupogit/MachineLearningSamples-PredictiveMaintenance,https://github.com/Azure-Samples/MachineLearningSamples-PredictiveMaintenance,2025-07-22T12:14:14Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
Microsoft-SQL-Server-Documentations,https://github.com/Ibraheemolasupogit/Microsoft-SQL-Server-Documentations,https://github.com/MicrosoftDocs/sql-docs,2025-06-29T07:38:16Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
nltk,https://github.com/Ibraheemolasupogit/nltk,https://github.com/nltk/nltk,2025-08-13T12:04:37Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
openai-vision,https://github.com/Ibraheemolasupogit/openai-vision,https://github.com/GraemeMalcolm/openai-vision,2025-08-04T16:09:30Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
PowerBI-connector,https://github.com/Ibraheemolasupogit/PowerBI-connector,https://github.com/eurostat/PowerBI-connector,2025-09-05T07:07:17Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
ProcessMining,https://github.com/Ibraheemolasupogit/ProcessMining,https://github.com/nhsengland/ProcessMining,2025-08-21T05:06:00Z,Evidence is uncertain or incomplete; review manually before deletion.,possible-portfolio-or-contribution-value,1,"Repository or upstream name suggests technical reference, portfolio relevance, domain value, or possible contribution context."
