repository name,repository URL,whether it is a fork,upstream/original repository if available,last updated date,visibility,whether there appear to be unique commits or meaningful changes by me,"whether there are signs of portfolio value, learning value, or contribution value",recommendation,short reason for the recommendation
a2a-python,https://github.com/Ibraheemolasupogit/a2a-python,Yes,https://github.com/a2aproject/a2a-python,2025-07-23T03:53:11Z,public,No obvious unique commits from public metadata,No clear signal,REVIEW,Evidence is uncertain or incomplete; review manually before deletion.
a2a-samples,https://github.com/Ibraheemolasupogit/a2a-samples,Yes,https://github.com/a2aproject/a2a-samples,2025-07-23T03:51:20Z,public,No obvious unique commits from public metadata,learning,REVIEW,Learning/reference fork; review before deleting even if no unique commits are obvious.
Academind-react-complete-guide-code,https://github.com/Ibraheemolasupogit/Academind-react-complete-guide-code,Yes,https://github.com/academind/react-complete-guide-code,2025-06-29T10:57:25Z,public,No obvious unique commits from public metadata,learning,REVIEW,Learning/reference fork; review before deleting even if no unique commits are obvious.
ambulance_response_times_and_handover_delays,https://github.com/Ibraheemolasupogit/ambulance_response_times_and_handover_delays,Yes,https://github.com/nhsengland/ambulance_response_times_and_handover_delays,2025-08-20T13:58:00Z,public,No obvious unique commits from public metadata,No clear signal,REVIEW,Evidence is uncertain or incomplete; review manually before deletion.
ambulance-DES,https://github.com/Ibraheemolasupogit/ambulance-DES,Yes,https://github.com/nhsx/ambulance-DES,2025-08-20T13:59:12Z,public,No obvious unique commits from public metadata,No clear signal,REVIEW,Evidence is uncertain or incomplete; review manually before deletion.
APL-2002-develop-aspnet-core-consumes-api,https://github.com/Ibraheemolasupogit/APL-2002-develop-aspnet-core-consumes-api,Yes,https://github.com/MicrosoftLearning/APL-2002-develop-aspnet-core-consumes-api,2025-11-23T17:12:18Z,public,No obvious unique commits from public metadata,learning,REVIEW,Learning/reference fork; review before deleting even if no unique commits are obvious.
atomic-red-team,https://github.com/Ibraheemolasupogit/atomic-red-team,Yes,https://github.com/redcanaryco/atomic-red-team,2025-08-22T21:45:07Z,public,No obvious unique commits from public metadata,No clear signal,REVIEW,Evidence is uncertain or incomplete; review manually before deletion.
attendance_system,https://github.com/Ibraheemolasupogit/attendance_system,Yes,https://github.com/datascienceanywhere/attendance_system,2025-08-30T06:51:31Z,public,No obvious unique commits from public metadata,No clear signal,REVIEW,Evidence is uncertain or incomplete; review manually before deletion.
AZ-1008-Administer-Active-Directory-Domain-Services,https://github.com/Ibraheemolasupogit/AZ-1008-Administer-Active-Directory-Domain-Services,Yes,https://github.com/MicrosoftLearning/AZ-1008-Administer-Active-Directory-Domain-Services,2025-11-04T15:47:20Z,public,No obvious unique commits from public metadata,learning,REVIEW,Learning/reference fork; review before deleting even if no unique commits are obvious.
AZ-2007-Accelerate-app-development-by-using-GitHub-Copilot,https://github.com/Ibraheemolasupogit/AZ-2007-Accelerate-app-development-by-using-GitHub-Copilot,Yes,https://github.com/MicrosoftLearning/AZ-2007-Accelerate-app-development-by-using-GitHub-Copilot,2025-07-13T09:23:53Z,public,No obvious unique commits from public metadata,learning,REVIEW,Learning/reference fork; review before deleting even if no unique commits are obvious.
az-204-examples,https://github.com/Ibraheemolasupogit/az-204-examples,Yes,https://github.com/iveylabs/az-204-examples,2026-01-18T08:04:43Z,public,No obvious unique commits from public metadata,learning,REVIEW,Learning/reference fork; review before deleting even if no unique commits are obvious.
AzureAI-Playground,https://github.com/Ibraheemolasupogit/AzureAI-Playground,Yes,https://github.com/unaihuete93/AzureAI-Playground,2026-05-06T09:46:41Z,public,No obvious unique commits from public metadata,No clear signal,REVIEW,Evidence is uncertain or incomplete; review manually before deletion.
build-push-action,https://github.com/Ibraheemolasupogit/build-push-action,Yes,https://github.com/docker/build-push-action,2025-08-19T21:15:14Z,public,No obvious unique commits from public metadata,No clear signal,REVIEW,Evidence is uncertain or incomplete; review manually before deletion.
buildx,https://github.com/Ibraheemolasupogit/buildx,Yes,https://github.com/docker/buildx,2025-08-19T21:14:14Z,public,No obvious unique commits from public metadata,No clear signal,REVIEW,Evidence is uncertain or incomplete; review manually before deletion.
clean-code-course-code,https://github.com/Ibraheemolasupogit/clean-code-course-code,Yes,https://github.com/academind/clean-code-course-code,2025-08-04T19:06:43Z,public,No obvious unique commits from public metadata,learning,REVIEW,Learning/reference fork; review before deleting even if no unique commits are obvious.
cli,https://github.com/Ibraheemolasupogit/cli,Yes,https://github.com/docker/cli,2025-08-19T21:12:16Z,public,No obvious unique commits from public metadata,No clear signal,REVIEW,Evidence is uncertain or incomplete; review manually before deletion.
cloud-build-samples,https://github.com/Ibraheemolasupogit/cloud-build-samples,Yes,https://github.com/GoogleCloudPlatform/cloud-build-samples,2025-08-03T14:24:50Z,public,No obvious unique commits from public metadata,learning,REVIEW,Learning/reference fork; review before deleting even if no unique commits are obvious.
code-contributions,https://github.com/Ibraheemolasupogit/code-contributions,Yes,https://github.com/Roshanjossey/code-contributions,2025-08-02T18:26:13Z,public,No obvious unique commits from public metadata,learning,REVIEW,Learning/reference fork; review before deleting even if no unique commits are obvious.
Cognitive-Services-Vision-Solution-Templates,https://github.com/Ibraheemolasupogit/Cognitive-Services-Vision-Solution-Templates,Yes,https://github.com/Azure-Samples/Cognitive-Services-Vision-Solution-Templates,2025-08-04T04:18:00Z,public,No obvious unique commits from public metadata,No clear signal,REVIEW,Evidence is uncertain or incomplete; review manually before deletion.
compose,https://github.com/Ibraheemolasupogit/compose,Yes,https://github.com/docker/compose,2025-08-19T21:12:36Z,public,No obvious unique commits from public metadata,No clear signal,REVIEW,Evidence is uncertain or incomplete; review manually before deletion.
composer-airflow,https://github.com/Ibraheemolasupogit/composer-airflow,Yes,https://github.com/GoogleCloudPlatform/composer-airflow,2025-08-04T06:39:06Z,public,No obvious unique commits from public metadata,No clear signal,REVIEW,Evidence is uncertain or incomplete; review manually before deletion.
contoso-chat-csharp-prompty,https://github.com/Ibraheemolasupogit/contoso-chat-csharp-prompty,Yes,https://github.com/Azure-Samples/contoso-chat-csharp-prompty,2025-09-18T09:44:31Z,public,No obvious unique commits from public metadata,No clear signal,REVIEW,Evidence is uncertain or incomplete; review manually before deletion.
course-deep-learning-bootcamp,https://github.com/Ibraheemolasupogit/course-deep-learning-bootcamp,Yes,https://github.com/AISCIENCES/course-deep-learning-bootcamp,2025-08-04T21:11:28Z,public,No obvious unique commits from public metadata,learning,REVIEW,Learning/reference fork; review before deleting even if no unique commits are obvious.
course-pytorch,https://github.com/Ibraheemolasupogit/course-pytorch,Yes,https://github.com/AISCIENCES/course-pytorch,2025-08-04T20:50:39Z,public,No obvious unique commits from public metadata,learning,REVIEW,Learning/reference fork; review before deleting even if no unique commits are obvious.
DALL-E,https://github.com/Ibraheemolasupogit/DALL-E,Yes,https://github.com/openai/DALL-E,2025-08-13T17:46:46Z,public,No obvious unique commits from public metadata,No clear signal,REVIEW,Evidence is uncertain or incomplete; review manually before deletion.
darkspace-Git-Hub-GH-900,https://github.com/Ibraheemolasupogit/darkspace-Git-Hub-GH-900,Yes,https://github.com/rob-foulkrod/darkspace,2026-04-14T16:06:05Z,public,Possible: fork branch has pushes at/after fork creation; could be user work or a sync,No clear signal,REVIEW,Evidence is uncertain or incomplete; review manually before deletion.
